id	title	slug	bucket	struggle	result_set	viral_angle	virality_score	evidence
11	Can You Forgive Someone Who Isn't Sorry?	can-you-forgive-someone-who-isnt-sorry	profile	forgiving someone who hurt you	You're Ready to Release It | You're Confusing Forgiveness With Reconciliation | You're Waiting on an Apology That May Never Come | You've Forgiven but the Wound Still Aches	Tackles the single most-searched forgiveness question head-on and separates forgiveness from reconciliation; instantly shareable for anyone stuck	93	Huge search cluster: Psalmlog, Bible Boulevard, Deb Preston, iBelieve all titled 'how to forgive someone who isn't sorry'; central teaching is forgiveness without an apology and boundaries intact
12	Do You Have High-Functioning Anxiety?	do-you-have-high-functioning-anxiety	profile	People who look totally put-together are secretly running worst-case scenarios all night and feel unseen	Hidden High-Functioning Anxiety | Quiet Overwhelm | Productive Panic | The Capable Mask | Mostly At Peace	"You look fine but you're not" is an instant self-recognition hook that high-achieving Christian women screenshot and send to each other	92	Multiple therapist/Christian blogs on "high-functioning anxiety in women" describe looking capable while lying awake catastrophizing; strong niche demand
13	Which Burned-Out Bible Hero Are You?	which-burned-out-bible-hero-are-you	archetype	Exhausted believers want to see their burnout mirrored in a faith hero who hit the wall	Elijah (collapsed after the high) | Moses (carrying everyone alone) | Martha (busy and resentful) | Jonah (done and bitter) | Jeremiah (weary of the work) | Naomi (empty and grieving)	A flagship "which tired Bible hero are you" badge; Elijah-wanted-to-die is shockingly relatable and screenshot-worthy	92	"4 Bible Characters Who Experienced Burnout" and Elijah-burnout content are widely published; Elijah running exhausted and wanting to die is the go-to burnout story
14	Which Doubting Bible Figure Are You?	which-doubting-bible-figure-are-you	archetype	doubt / is my faith real	Thomas (needs proof) | John the Baptist in prison (are you the one?) | Gideon (lays out a fleece) | The father of Mark 9 (help my unbelief) | Job (demands an answer) | Sarah (laughs in disbelief)	Turns the shame of doubt into "you're in good biblical company" — Thomas, Gideon, John all doubted and were not rejected	92	TGC "My Comfort in John the Baptist's Doubt", Desiring God "How Doubting Thomas Finds Faith", Abide "5 Biblical Figures Who Turned Doubt into Devotion", Logos "Doubting John" — strong shareable demand around named doubters
15	Which Bible Figure's Waiting Season Are You In?	which-waiting-season-bible-figure	archetype	stuck in a waiting season	Joseph in Prison | David Anointed but Not Yet King | Abraham Waiting for Isaac | Moses in Midian | Hannah Praying for a Child | Sarah Past Hope	The flagship archetype for waiting: maps your exact in-between to a named biblical wait (Joseph 13 yrs, David 15, Abraham 20, Moses 40) so the limbo finally has meaning	92	Heavy sermon volume: 'When God Makes You Wait' (Abraham), 'Joseph: God Is with You in the Waiting', David's 15-yr gap; waiting-season sermons are a recurring YouTube genre
16	What's Your Comparison Trap?	whats-your-comparison-trap	profile	comparison	The Highlight-Reel Scroller | The Silent Scorekeeper | The Never-Measures-Up | The Secret Competitor	Diagnoses HOW you compare (not whether), making "comparison is the thief of joy" personal and shareable for the social-media generation.	92	"Comparison is the thief of joy" is a huge Christian sermon topic (Desiring God, Christianity Today, Perspective Ministries); sources tie it to social media envy, "smug pride or envious inferiority", and feeling "less in the end".
17	What's Your Church-Hurt Recovery Stage?	whats-your-church-hurt-recovery-stage	profile	healing from church hurt	Still in the Fog | Naming What Happened | Setting Boundaries | Grieving the Loss | Cautiously Rebuilding Trust	Maps where you actually are in healing so the chaos has a name and a next step; recovery-stage framing is exactly how the top articles structure the journey	92	Center for Action and Contemplation 'guide to healing church hurt', Sandstone Care '9 signs of religious trauma & how to heal', Crosswalk '6 healthy ways to recover from church trauma' all lay out staged recovery
18	Which Anxiety Bible Verse Is for You Right Now?	which-anxiety-verse-for-you	profile	People literally search "bible verses for anxiety" and want the one that fits their exact moment	Philippians 4:6-7 (Anxious About Everything) | Matthew 6:34 (Worried About Tomorrow) | 1 Peter 5:7 (Carrying Too Much) | Isaiah 41:10 (Scared and Alone) | Psalm 94:19 (Spiraling Thoughts) | John 14:27 (Can't Find Peace) | Psalm 56:3 (Afraid Right Now)	Turns the #1 anxiety search into a personalized verse-match badge people save as a phone wallpaper	91	"Bible verses for anxiety" is a top-volume YT/search category (100k-1M+ view videos, ASMR and meditation formats all over it)
19	What's Behind Your Spiritual Dryness?	whats-behind-your-spiritual-dryness	profile	spiritual dryness / God feels silent	Soul Fatigue (you're empty, not far) | Hidden Sin Static | The Dark Night (God is weaning, not leaving) | Distraction Drift | Unprocessed Grief	Names the real reason your quiet times went flat and gives one scripture + one next step instead of generic guilt	91	Cru "5 Things to Do When God Seems Silent", GotQuestions "God-silent-absent", Soul Shepherding dark-night articles, and Daily She Pursues "4 Reasons You May Be Feeling Far From God" all rank for this; "why do I feel far from God" is a recurring top question per Wholeheartedly Messy / Mission Hills
20	What's Your Christian Dating Pattern?	whats-your-christian-dating-pattern	profile	Repeating the same dating mistakes; not knowing why relationships keep failing	The Serial Almost | The Guarded Heart | The Fixer | The Faithful Waiter | The Rush-to-the-Altar	Names the exact loop you keep living so you can finally break it; deeply self-recognizing and screenshot-shareable	91	'Is He The One?' is called the #1 question in Christian dating (ChristianMingle, TGC 'Dating Advice You Actually Need'); 31-red-flags listicles; r/ChristianDating threads on repeating mistakes
21	Who Do You Need to Forgive?	who-do-you-need-to-forgive	profile	unforgiveness toward others	A Parent | A Former Friend | A Church or Pastor | An Ex | Yourself | God (Honestly)	Surfaces the name your heart already whispered and gently points to the first step; 'who do I need to forgive' is the universal gut-punch question	91	'Forgiving someone who isn't sorry' is a top Christian search across iBelieve, Desiring God; forgiveness content repeatedly names parents, exes, church leaders, and self as the hardest targets
22	Which Bible Figure Felt Your Kind of Anxiety?	which-bible-figure-felt-your-anxiety	archetype	People feel alone in their fear and crave proof that heroes of faith panicked too	Martha (frantic and overwhelmed) | David (hunted and afraid) | Hannah (aching and desperate) | Peter (sinking in doubt) | Elijah (burned out and hopeless) | Job (blindsided by loss) | Jonah (running from it all)	Self-recognition plus a comforting "even they felt this" badge that destigmatizes anxiety and begs to be shared	90	Articles like "16 Bible Characters Who Struggled with Anxiety" and "6 Bible Figures Who Struggled With Anxiety" rank widely; Martha "anxious about many things" is a known anchor
23	What Does Your Overthinking Spiral Look Like?	whats-your-overthinking-spiral	profile	Overthinkers replay, rehearse, and future-trip and want their specific loop named	The Replayer (rumination) | The What-If Machine (future tripping) | The Decision-Freezer (paralysis) | The Comparer | The Mind-Reader | The Rehearser	Overthinking quizzes are a proven viral genre; the faith angle adds a verse to break each specific loop	90	Overthinking Archetype Quiz and BuzzFeed "If You Overthink Too Much" prove the format; rumination/catastrophizing/future-tripping are named subtypes
24	What's Your Burnout Stage?	whats-your-burnout-stage	profile	Tired people want to know if they're just busy or genuinely burning out	Running on Empty | Cynical and Detached | Surviving on Fumes | Stretched but Okay | Recovering | Healthy Rhythm	A burnout-stage diagnostic gives a serious, share-worthy "how bad is it" verdict plus a rest-based next step	90	Pastor burnout data is stark (40% high-risk, 91% experienced it, 18% "fried to a crisp"); mom-burnout content uses "nothing left to give"
25	Do You Have Mom Burnout?	do-you-have-mom-burnout	profile	Christian moms feel they have nothing left to give and quietly fear they're failing	Burned Out and Running on Empty | Touched-Out and Overstimulated | Resentful and Guilty | Stretched Thin | Tired but Holding On | In a Good Rhythm	A laser-targeted "this is exactly my life" quiz for an enormous, sharing-prone audience of Christian moms	90	Christian mom-burnout content uses "you have nothing left to give," snapping over little things, and tired-after-sleep; high engagement niche
26	What Kind of Doubt Are You Actually Having?	what-kind-of-doubt-are-you-having	profile	doubt / is my faith real	Intellectual Doubt | Emotional Doubt | Moral / Volitional Doubt | Relational Doubt (someone hurt you) | Circumstantial Doubt (suffering shook you)	Reframes "I'm losing my faith" into a nameable type so you know how to actually treat it	90	Os Guinness's intellectual/emotional/moral framework is widely taught (Crossway, Jonathan Morrow, Travis Dickinson, crossexamined.org "most doubts are emotional not intellectual"); 412teens/Ligonier show huge demand for "is it a sin to doubt"
27	Why Does God Feel Silent Right Now?	why-does-god-feel-silent-right-now	profile	God feels silent / hearing God	You Stopped Listening | He's Speaking Through Scripture (not feelings) | The Dark Night (deliberate withdrawal) | Noise Has Crowded Him Out | He Already Answered, You Didn't Recognize It	Diagnoses the specific reason God feels quiet for YOU and hands you the next move	90	Cru, Crossway "How to Pray and Hear Back from God", Oswald Chambers "silence of pleasure" widely cited; Abide "Hearing His Whisper"; "why does God feel silent / distant" is a dominant search cluster
28	Why Do You Feel Stuck Right Now?	why-do-you-feel-stuck	profile	feeling stuck and purposeless	Stuck in Waiting | Stuck in Fear | Stuck in Comparison | Stuck in Burnout | Stuck in Disobedience	Names the exact reason you feel frozen and gives the one spiritual move that unsticks you; 'feeling stuck' is one of the most-searched life states for 20-40s	90	r/Christianity + secular r/findapath threads center on 'what am I doing with my life'; My Daily Bread 'What The Bible Says About Feeling Stuck' + 'obscurity always comes before assignment' devotionals rank highly
29	Are You Actually Behind in Life?	are-you-actually-behind-in-life	profile	feeling stuck and purposeless	Right on God's Timeline | Comparison Has Lied to You | In a Hidden Prep Season | Genuinely Drifting and Need a Step	Confronts the brutal 'everyone has it figured out' feeling with grace; the 'falling behind' anxiety is a viral evergreen for 20-40s	90	'Compare and despair' + 'feel like I'm falling behind while everyone has their life together' is documented across 20s/30s mental-health and Christian content
30	What's Your Loneliness Pattern?	whats-your-loneliness-pattern	profile	loneliness	Emotional Loneliness | Social Loneliness | Existential Loneliness | Situational Loneliness	Maps your loneliness onto the real psychological types so it feels named and validated, then points each to a biblical companion; deeply shareable for the "I feel this" crowd.	90	Psychology Today / iPractice / Oxford Gerontologist define emotional, social, existential (plus situational/chronic) loneliness as distinct types; "what kind of lonely are you" is a recognized framing.
31	What's Your Social-Media Comparison Type?	social-media-comparison-type	profile	comparison	The Doom-Scroller | The Curator | The Lurker-Comparer | The FOMO Feeler	Hyper-current quiz on how the feed messes with your worth; named types are instantly tag-a-friend material for the most relatable modern struggle.	90	Comparison-thief-of-joy sources directly blame social media for envy/depression and "feeling down on ourselves"; social-media comparison is the dominant modern form of the comparison struggle.
32	What's Your Parenting Spirit?	whats-your-parenting-spirit	profile	Doubting whether you're raising your kids the right, godly way	The Gentle Shepherd | The Firm Anchor | The Grace-First Parent | The Anxious Perfectionist | The Recovering Strict Parent	Settles the gentle-vs-biblical parenting war in a self-test moms screenshot and debate	90	TGC + Desiring God + Foundation Worldview 'Is Gentle Parenting Biblical?' is a hot debate; grace-based vs discipline (Prov 13:24 vs Eph 6:4); huge mom-guilt audience
33	Which Bible Figure's Grief Mirrors Yours?	which-bible-figures-grief-mirrors-yours	archetype	grief	Job (Lost Everything) | Naomi (Turned Bitter) | David (Wept for His Child) | Mary & Martha (Where Were You, Lord?) | Jesus (Wept at the Tomb)	The flagship grief archetype - puts a sufferer's pain inside a sacred story so they feel companioned, not alone; deeply shareable "this is me" result	90	christianityiq.com/bible-characters-who-experienced-grief, answeredfaith.com/examples-grief-bible, desiringgod.org/articles/why-jesus-wept; Naomi "call me Mara" and David weeping confirmed across sources
34	Which Bible Figure's Relationship With Money Are You?	which-bible-money-figure-are-you	archetype	greed vs generosity, wealth, contentment	Rich Young Ruler | Zacchaeus | The Widow With Two Coins | Job | Solomon	Maps your wallet onto iconic money figures; the rich-young-ruler-vs-Zacchaeus contrast is a beloved teaching hook and screams 'share your result'.	90	Institute for Faith & Culture + Redeeming God rich young ruler studies; eatyourbible rich ruler vs Zacchaeus; widow's mite generosity teaching.
35	What's Your Triggered Reaction Style?	whats-your-triggered-reaction-style	profile	emotional triggers	The Shutdown (Freeze) | The Snap (Fight) | The Vanish (Flight) | The People-Please (Fawn) | The Spiral (Overthink)	Names how your old wound hijacks you in the moment, then shows the gentler response God offers; trigger/fight-flight-freeze-fawn content is massively shared	90	Inner-child sources (Tim Fletcher, Positive Psychology) explain triggers as 'wounded inner child reacting'; 'why do I get triggered' is a high-volume search with fight/flight/freeze/fawn vocabulary
36	What's Your Path Back to God After Church Hurt?	whats-your-path-back-to-god	profile	rebuilding faith after church hurt	Through Honest Lament | Through a Safe Small Community | Through Rediscovering Jesus Apart From Religion | Through Therapy and Time | Still Finding the Door	Offers hopeful, non-pushy routes back to faith for people whose connection to God was poisoned by people; deeply saveable	90	CAC and APA (2025) on rebuilding a spiritual life after religion; recurring theme that 'God was not absent even when people failed' and lament doesn't offend God
37	Are You Angry at God? (And Is That Okay?)	are-you-angry-at-god	profile	anger at God	Yes, and You're Hiding It | Yes, and You're Wrestling Honestly | More Disappointed Than Angry | Numb and Distant Right Now	Gives permission for the taboo emotion most believers won't admit, with the reassurance that lament is biblical; rare, brave, intensely shareable	90	Christian healing content repeatedly normalizes anger at God through honest lament (the Psalms, Job); 'is it a sin to be angry at God' is a recurring, emotionally loaded search
38	What's Fueling Your Worry?	whats-fueling-your-worry	profile	People worry constantly but rarely know the root driver underneath the spiral	Fear of the Future | Fear of Losing Control | Fear of Not Being Enough | Fear of Abandonment | Fear of the Worst Happening | Fear of Failing God	Names the hidden root of your anxiety, which feels like being deeply seen, and gives a verse for that exact root	89	"Why am I so anxious" and "fear of the future" are heavy Christian search terms; Desiring God and Gospel Coalition both run high-traffic fear-of-future pieces
39	Is It Anxiety or Is It a Faith Problem?	is-it-anxiety-or-a-faith-problem	profile	Christians secretly fear their anxiety means weak faith and desperately want clarity and relief from guilt	It's Anxiety, Not Faithlessness | A Mix You Can Untangle | Mostly Spiritual Battle | Time to Seek Support | You're Being Too Hard on Yourself	Hits the guilt nerve "does my anxiety mean I don't trust God" and offers grace; deeply emotional and shareable	89	Health-anxiety and high-functioning-anxiety Christian sources directly name the guilt "if I had more faith would I be this anxious"; very common pain point
40	Why Are You So Tired?	why-are-you-so-tired	profile	"I'm so tired" is a daily refrain and people want to know what's actually draining them	Soul Tired (spiritual depletion) | People-Pleasing Drain | Hustle Burnout | Carrying Others' Weight | Decision Fatigue | Just Physically Run-Down	Names the real source behind "I'm exhausted," which feels revelatory, and points to the matching kind of rest	89	"I'm so tired" / weary-and-burdened (Matt 11:28) framing is everywhere; mom and ministry burnout content centers chronic exhaustion
41	Are You Deconstructing or Just Asking Honest Questions?	deconstructing-or-asking-honest-questions	profile	doubt / deconstruction	Healthy Questioning (faith-building) | Deconstruction Toward Rebuilding | Deconstruction Toward Exit | Faith Crisis (pain-driven) | Stuck in the Rubble	Answers the exact question deconstructing 25-45s are Googling at 2am: is this growth or am I leaving?	89	#deconstruction has ~1.1B views and #exvangelical ~233M on TikTok; iBelieve "Questioning versus Deconstructing", GotQuestions, Carey Nieuwhof "5 Reasons People Are Deconstructing", ACSD all frame the exact distinction
42	Which "When God Is Silent" Bible Figure Are You?	which-when-god-is-silent-figure-are-you	archetype	unanswered prayer / God feels silent	Job (no answer for ages) | Habakkuk (how long, Lord?) | Asaph (Psalm 73 almost slipped) | Hannah (prayed through tears) | Elijah (burned out under the broom tree) | David in the cave	Matches your silent-prayer season to a Bible figure who waited in the dark and survived	89	Carrubbers / Inspired Scripture on Psalm 88 "When God Is Silent", Franciscan Media "Biblical Laments", "faith is learning to trust God in the dark" widely shared; lament figures are vivid and relatable
43	What's Your Discernment Style?	whats-your-discernment-style	profile	how do I know God's will	The Counsel-Seeker | The Peace-Waiter | The Open-Door Walker | The Scripture-First | The Bold Mover	Reframes 'how do I know God's will' as a style you already lean on, then names your blind spot; God's-will discernment is a perennial top Christian search	89	Biola CMR 'Discerning God's Will vs Personal Desires', Core Christianity 'Non-Paralyzing Search for God's Will', and countless 'how do I know God's will for my life' searches
44	Which "Unseen by God" Moment Do You Relate To?	unseen-by-god-moment	archetype	loneliness	Hagar in the Wilderness | Elijah Under the Broom Tree | Hannah at the Temple | David in the Caves	For the person who feels God forgot them; each story ends with God showing up, reframing "does God even see me" into "He sees me". High emotional pull.	89	Hagar's "You are the God who sees me" (El Roi) is a headline theme in overlooked-character studies; "feeling unseen by God / forgotten" is a documented loneliness-and-faith struggle.
45	What's Your "Not Enough" Story?	whats-your-not-enough-story	profile	identity	Not Smart Enough | Not Holy Enough | Not Successful Enough | Not Wanted Enough	Pinpoints the specific flavor of "not enough" you carry and rewrites the ending with grace; the universal "not enough" hook is irresistibly relatable.	89	"Not good enough / not enough" is the single most cited identity lie across Cru, Daughter of Delight, and identity-verse roundups ("You are enough in Christ"); a top emotional driver.
46	Are You a Generational Cycle Breaker?	are-you-a-cycle-breaker	profile	Feeling alone as the one trying to do family differently	Born Cycle Breaker | Reluctant Cycle Breaker | Healing-but-Tired | Still-in-the-Cycle	Validates the lonely 'first to break it' calling; spawns testimony comments and shares	89	'cycle breaker' framing across YouTube/Psychology Today/Aviva Romm; refreshing-waters '5 steps to break family cycles'; oakhealthfoundation generational trauma in the Bible
47	Which Bible Parent Are You?	which-bible-parent-are-you	archetype	Parents wanting to see themselves in Scripture	Hannah | Jochebed | David | Eli | Mary | Eunice and Lois	Core parenting archetype quiz; moms and dads screenshot and tag their co-parent	89	Crosswalk/Christianity IQ 'mothers in the Bible'; Hannah (dedicated Samuel), Jochebed (trusting), Eli (permissive warning), David (grief), Eunice/Lois (faith passed down)
48	What Shame Story Are You Living?	what-shame-story-are-you-living	profile	shame	I Am Too Much | I Am Not Enough | If They Knew, They'd Leave | I Am Beyond Repair	Names the specific lie shame whispers (shame = "I am bad" vs guilt = "I did bad") - intensely personal and shareable because it exposes a hidden inner script	89	emerge.org/guilt-and-shame-are-not-the-same, thegospelcoalition.org/article/difference-between-guilt-shame (shame tied to person, lie); thelivingwell.com "Shame: The Silent Destroyer of Your Faith"
49	Is Your Phone an Idol? (A Gut-Check Quiz)	is-your-phone-an-idol	profile	phone addiction, social media, self-control	Surrendered | Tempted | Tethered | Fully Captured	Direct, slightly scary question everyone has privately asked; 'gut-check' invites honesty and the result begs to be posted.	89	Gospel Coalition 'How Do You Overcome Social Media Idolatry'; Desiring God smartphone ADD; 70% self-report phone addiction (APA).
50	What's Fueling Your Bitterness?	whats-fueling-your-bitterness	profile	bitterness and resentment	An Unhealed Injustice | A Grudge You Keep Rehearsing | Comparison and Envy | Disappointment With God | An Apology That Never Came	Diagnoses the root feeding the resentment so you can pull it instead of fighting the fruit; bitterness as a 'prison you build' is a viral framing	89	Desiring God 'we cannot cling to bitterness and God', Christianity Today 'how to deal with bitterness and resentment'; CPTSD Foundation '6 ways to let go of resentment' names rehearsed grudges
51	What Lie Did Your Wound Teach You?	what-lie-did-your-wound-teach-you	profile	inner healing	'I'm Too Much' | 'I'm Not Enough' | 'It's Not Safe to Trust' | 'It's All My Fault' | 'I Have to Earn Love'	Exposes the childhood lie still steering you and pairs it with the truth that breaks it; the 'identify the lie, find the scripture' method is a core inner-healing practice	89	Christian inner-healing teaching: 'identify every lie from childhood, find scripture that refutes it, meditate on it daily'; lies like 'not enough / unsafe to trust' dominate inner-child recovery content
52	Which Bible Figure Was Wounded by Religious Leaders Like You?	which-bible-figure-wounded-by-religious-leaders	archetype	church hurt	The Man Born Blind (Cast Out of the Synagogue) | Jeremiah (Persecuted by the Priests) | David (Hunted by God's Anointed King) | Hannah (Shamed at the Temple Door) | Jesus Himself (Rejected by the Religious Establishment)	Tells the church-hurt crowd that Scripture's own heroes were wounded by religious power, and Jesus most of all; validating, surprising, deeply shareable	89	John 9 man born blind 'thrown out', Jeremiah beaten by priest Pashhur, David fleeing Saul, Hannah judged by Eli, and Jesus rejected by the Pharisees ground the church-hurt experience biblically
53	Is It Conviction or Is It Shame?	is-it-conviction-or-shame	profile	religious trauma	Healthy Conviction From God | Toxic Shame From People | A Tangled Mix | An Old Voice That Isn't God's	Separates the Spirit's gentle conviction from the crushing shame religious trauma leaves behind; a genuine lightbulb-moment quiz	89	Religious-trauma sources name 'persistent shame, guilt, worthlessness' as core symptoms; distinguishing conviction from shame is a recurring church-hurt healing theme
54	How Anxious Is Your Attachment to God?	how-anxious-is-your-attachment-to-god	profile	Many believers secretly fear they aren't good enough for God to love and constantly seek reassurance	Anxiously Attached (need constant proof) | Avoidant (keep God at arm's length) | Earning-It (love feels conditional) | Growing Secure | Securely Attached	Reframes attachment-theory content (huge on socials) through faith; the "do you trust God's love or audition for it" hook lands hard	88	RADIANT and Proverbs 31 both publish on attachment style and your relationship with God; "am I good enough for God to love me" is a recurring anxious pattern
55	Which Fear Is Secretly Running Your Life?	which-fear-is-running-your-life	profile	People sense fear drives their choices but can't name which fear is in the driver's seat	Fear of Failure | Fear of Rejection | Fear of the Unknown | Fear of Losing Someone | Fear of Not Mattering | Fear of Death | Fear of Disappointing God	The "name the fear that secretly steers you" reveal is high-charge and the result becomes a postable identity insight	88	Fear-themed Christian content spans rejection, the future, death, and disappointing God; "do not be afraid" is the Bible's most repeated command (well-known hook)
56	Are You Actually Resting or Just Stopping?	are-you-actually-resting-or-just-stopping	profile	People collapse on the couch but never feel restored and wonder why rest isn't working	Numb-Scrolling (not real rest) | Crash-and-Burn Rest | Guilty Rest | Productive "Rest" | True Sabbath Rest	The "your rest isn't actually resting" reveal is a fresh, convicting insight that drives saves and shares	88	Biblical-rest content stresses that stopping isn't Sabbath and that we mistake numbing for rest; hustle-culture-vs-rest is a huge teaching theme
57	Is Your Faith on Autopilot?	is-your-faith-on-autopilot	profile	going through the motions / dryness	Running on Fumes (burnout) | Performance Mode (faking it) | Comfortable Coasting | Numb but Showing Up | Genuinely Resting (it's okay)	Brutally honest self-check for the Christian who shows up, smiles, says the words, and feels nothing	88	Christian Post "Feel like your faith is on autopilot", Living a Fruitful Life "Active or on Autopilot", iBelieve "Spiritually Burned Out But Still Believe", For The Church "Going Through the Motions" — heavy, recurring content theme
58	Are You in a Dark Night of the Soul?	are-you-in-a-dark-night-of-the-soul	profile	spiritual dryness / God feels absent	Yes, the Classic Dark Night | Spiritual Burnout (not the same) | Depression Wearing a Spiritual Mask | A Dry Season (normal) | Conviction You're Avoiding	Helps you tell the difference between a holy dark night, plain burnout, and something a doctor should see	88	Soul Shepherding, R.C. Sproul/Ligonier, Catholic.com, Dr. Alison Cook podcast, Testimonio "Dark Night... How to Survive It" — strong demand; Mother Teresa / C.S. Lewis hooks make it shareable
59	Do You Secretly Feel Like a Fraud at Church?	do-you-secretly-feel-like-a-fraud-at-church	profile	is my faith real / faking it	The Impostor (believe but feel fake) | The Performer (faith as role) | The Quiet Doubter | The Burned-Out Server | The Real Deal (you're harder on yourself than God is)	Names the secret "everyone here is more spiritual than me" feeling almost no one admits out loud	88	Core Christianity & TGC "The Dangers of Faking It in Ministry", For The Church / YMI "Tired of Going Through the Motions"; "feeling like a fraud" is recurring deconstruction/doubt language
60	Why Can't You Hear God's Voice?	why-cant-you-hear-gods-voice	profile	hearing God	Expecting Audible, Missing the Whisper | Too Much Noise | Not in the Word Enough | He's Confirming, You Want New | A Season of Silence on Purpose	Tells you the specific reason God seems mute to you and what to actually listen for	88	Crossway, Cru, Premier Christianity "Hear God's Voice in Troubled Times", Daily She Pursues "7 Ways to Hear God in the Silence", askaboutmyfaith "How the Holy Spirit Speaks" — dense, high-demand cluster
