"slug","key","name","type","status","note"
"which-bible-character-are-you","joseph","Joseph in the Long Wait","character","OK",""
"which-bible-character-are-you","mary","Mary the Yes","character","OK",""
"which-bible-character-are-you","moses","Moses the Reluctant","character","OK",""
"which-bible-character-are-you","paul","Paul on the Road","character","OK",""
"which-bible-character-are-you","ruth","Ruth the Loyal","character","OK",""
"which-bible-couple-is-your-relationship","abigail-and-nabal","Abigail and Nabal","character","OK",""
"which-bible-couple-is-your-relationship","abraham-and-sarah","Abraham and Sarah","character","OK",""
"which-bible-couple-is-your-relationship","hosea-and-gomer","Hosea and Gomer","character","OK",""
"which-bible-couple-is-your-relationship","jacob-and-rachel","Jacob and Rachel","character","OK",""
"which-bible-couple-is-your-relationship","priscilla-and-aquila","Priscilla and Aquila","character","OK",""
"which-bible-couple-is-your-relationship","ruth-and-boaz","Ruth and Boaz","character","OK",""
"which-bible-dreamer-are-you","daniel","Daniel the Interpreter","character","OK",""
"which-bible-dreamer-are-you","jacob","Jacob at the Ladder","character","OK",""
"which-bible-dreamer-are-you","joseph","Joseph the Dreamer","character","OK",""
"which-bible-dreamer-are-you","pilateswife","Pilate's Wife and the Warning","character","OK",""
"which-bible-dreamer-are-you","solomon","Solomon the Wisdom-Seeker","character","OK",""
"which-bible-figure-felt-your-anxiety","david","David","character","OK",""
"which-bible-figure-felt-your-anxiety","elijah","Elijah","character","OK",""
"which-bible-figure-felt-your-anxiety","hannah","Hannah","character","OK",""
"which-bible-figure-felt-your-anxiety","job","Job","character","OK",""
"which-bible-figure-felt-your-anxiety","jonah","Jonah","character","OK",""
"which-bible-figure-felt-your-anxiety","martha","Martha","character","OK",""
"which-bible-figure-felt-your-anxiety","peter","Peter","character","OK",""
"which-bible-figure-wounded-by-religious-leaders","david","David","character","MISMATCH","Image shows a young woman praying with eyes closed and a small bowl/lamp beside her (appears to be Hannah); should be David, a male. Looks swapped with this quiz's hannah.webp."
"which-bible-figure-wounded-by-religious-leaders","hannah","Hannah","character","MISMATCH","Image shows a young bearded man holding a harp/lyre and a shepherd's ram-headed staff (appears to be David); should be Hannah, a woman. Looks swapped with this quiz's david.webp."
"which-bible-figure-wounded-by-religious-leaders","jeremiah","Jeremiah","character","OK",""
"which-bible-figure-wounded-by-religious-leaders","jesus","Jesus Himself","character","OK",""
"which-bible-figure-wounded-by-religious-leaders","man-born-blind","The Man Born Blind","character","OK",""
"which-bible-figures-grief-mirrors-yours","david","David (Wept for His Child)","character","OK",""
"which-bible-figures-grief-mirrors-yours","jesus","Jesus (Wept at the Tomb)","character","OK",""
"which-bible-figures-grief-mirrors-yours","job","Job (Lost Everything)","character","OK",""
"which-bible-figures-grief-mirrors-yours","mary-and-martha","Mary and Martha (Where Were You, Lord?)","character","OK",""
"which-bible-figures-grief-mirrors-yours","naomi","Naomi (Turned Bitter)","character","OK",""
"which-bible-king-are-you","david","David the Wholehearted","character","OK",""
"which-bible-king-are-you","hezekiah","Hezekiah the Faithful","character","OK",""
"which-bible-king-are-you","josiah","Josiah the Reformer","character","OK",""
"which-bible-king-are-you","saul","Saul the Reluctant","character","OK",""
"which-bible-king-are-you","solomon","Solomon the Wise","character","OK",""
"which-bible-money-figure-are-you","job","Job","character","OK",""
"which-bible-money-figure-are-you","rich-young-ruler","Rich Young Ruler","character","OK",""
"which-bible-money-figure-are-you","solomon","Solomon","character","OK",""
"which-bible-money-figure-are-you","widow-two-coins","The Widow With Two Coins","character","OK",""
"which-bible-money-figure-are-you","zacchaeus","Zacchaeus","character","OK",""
"which-bible-parent-are-you","david","David","character","OK",""
"which-bible-parent-are-you","eli","Eli","character","MISMATCH","Image shows a young woman in pink robes holding an oil lamp; should be Eli, an elderly male priest. Looks swapped with this quiz's mary.webp."
"which-bible-parent-are-you","eunice-and-lois","Eunice and Lois","character","OK",""
"which-bible-parent-are-you","hannah","Hannah","character","OK",""
"which-bible-parent-are-you","jochebed","Jochebed","character","OK",""
"which-bible-parent-are-you","mary","Mary","character","MISMATCH","Image shows an elderly bearded man in priestly robes at an altar with incense and a scroll; should be Mary, a young woman. Looks swapped with this quiz's eli.webp."
"which-bible-queen-are-you","bathsheba","Bathsheba the Resilient","character","OK",""
"which-bible-queen-are-you","esther","Esther the Courageous","character","OK",""
"which-bible-queen-are-you","jezebel","Jezebel the Willful","character","OK",""
"which-bible-queen-are-you","sheba","The Queen of Sheba the Seeker","character","OK",""
"which-bible-queen-are-you","vashti","Vashti the Unbowed","character","OK",""
"which-bible-villain-are-you","goliath","The Goliath in You","character","OK",""
"which-bible-villain-are-you","herod","The Herod in You","character","OK",""
"which-bible-villain-are-you","jezebel","The Jezebel in You","character","OK",""
"which-bible-villain-are-you","judas","The Judas in You","character","OK",""
"which-bible-villain-are-you","pharaoh","The Pharaoh in You","character","OK",""
"which-bible-warrior-are-you","david","David the Giant-Slayer","character","OK",""
"which-bible-warrior-are-you","deborah","Deborah the Leader","character","OK",""
"which-bible-warrior-are-you","gideon","Gideon the Unlikely","character","OK",""
"which-bible-warrior-are-you","joshua","Joshua the Bold","character","OK",""
"which-bible-warrior-are-you","samson","Samson the Strong","character","OK",""
"which-burned-out-bible-hero-are-you","elijah","Elijah (collapsed after the high)","character","OK",""
"which-burned-out-bible-hero-are-you","jeremiah","Jeremiah (weary of the work)","character","OK",""
"which-burned-out-bible-hero-are-you","jonah","Jonah (done and bitter)","character","OK",""
"which-burned-out-bible-hero-are-you","martha","Martha (busy and resentful)","character","OK",""
"which-burned-out-bible-hero-are-you","moses","Moses (carrying everyone alone)","character","OK",""
"which-burned-out-bible-hero-are-you","naomi","Naomi (empty and grieving)","character","OK",""
"which-christmas-character-are-you","innkeeper","The Innkeeper","character","OK",""
"which-christmas-character-are-you","joseph","Joseph the Steady","character","OK",""
"which-christmas-character-are-you","mary","Mary the Yes","character","OK",""
"which-christmas-character-are-you","shepherds","The Shepherds","character","OK",""
"which-christmas-character-are-you","wise-men","The Wise Men","character","OK",""
"which-christmas-character-are-you","angel","The Announcing Angel","creature","OK",""
"which-doubting-bible-figure-are-you","gideon","Gideon (lays out a fleece)","character","OK",""
"which-doubting-bible-figure-are-you","job","Job (demands an answer)","character","OK",""
"which-doubting-bible-figure-are-you","john-the-baptist","John the Baptist in prison (are you the one?)","character","OK",""
"which-doubting-bible-figure-are-you","mark-9-father","The father of Mark 9 (help my unbelief)","character","OK",""
"which-doubting-bible-figure-are-you","sarah","Sarah (laughs in disbelief)","character","OK",""
"which-doubting-bible-figure-are-you","thomas","Thomas (needs proof)","character","OK",""
"which-forgiven-bible-figure-are-you","david","David (After the Fall)","character","OK",""
"which-forgiven-bible-figure-are-you","paul","Paul (Former Enemy)","character","OK",""
"which-forgiven-bible-figure-are-you","peter","Peter (Denied, Restored)","character","OK",""
"which-forgiven-bible-figure-are-you","prodigal","The Prodigal (Came Home)","character","OK",""
"which-forgiven-bible-figure-are-you","woman-caught-in-adultery","The Woman Caught in Adultery (No Condemnation)","character","OK",""
"which-gospel-writer-are-you","john","John the Beloved","character","OK",""
"which-gospel-writer-are-you","luke","Luke the Careful Witness","character","CHECK","shows a young man sprinting/running with a scroll, which fits ""Mark the Fast Mover""; likely swapped with mark.webp (which shows a calm scholar carefully reading a scroll, fitting Luke)"
"which-gospel-writer-are-you","mark","Mark the Fast Mover","character","CHECK","shows a man standing still calmly reading/examining a scroll (with a writing quill), which fits ""Luke the Careful Witness""; likely swapped with luke.webp (which shows the running figure fitting Mark)"
"which-gospel-writer-are-you","matthew","Matthew the Bridge-Builder","character","OK",""
"which-judge-of-israel-are-you","deborah","Deborah the Wise Judge","character","OK",""
"which-judge-of-israel-are-you","gideon","Gideon the Cautious","character","OK",""
"which-judge-of-israel-are-you","jephthah","Jephthah the Outsider","character","OK",""
"which-judge-of-israel-are-you","othniel","Othniel the Faithful First","character","OK",""
"which-judge-of-israel-are-you","samson","Samson the Flawed Strongman","character","OK",""
"which-miracle-working-prophet-are-you","elijah","Elijah the Fire-Caller","character","OK",""
"which-miracle-working-prophet-are-you","elisha","Elisha the Double-Portion","character","OK",""
"which-miracle-working-prophet-are-you","moses","Moses the Deliverer","character","OK",""
"which-miracle-working-prophet-are-you","paul","Paul the Unlikely Apostle","character","OK",""
"which-miracle-working-prophet-are-you","peter","Peter the Bold Risk-Taker","character","OK",""
"which-overlooked-bible-person-are-you","hagar","Hagar (the cast-out one)","character","OK",""
"which-overlooked-bible-person-are-you","leah","Leah (the unseen one)","character","OK",""
"which-overlooked-bible-person-are-you","mephibosheth","Mephibosheth (the forgotten one)","character","OK",""
"which-overlooked-bible-person-are-you","zacchaeus","Zacchaeus (the outsider)","character","OK",""
"which-patriarch-are-you","abraham","Abraham the Pioneer","character","OK",""
"which-patriarch-are-you","isaac","Isaac the Faithful","character","OK",""
"which-patriarch-are-you","jacob","Jacob the Wrestler","character","OK",""
"which-patriarch-are-you","joseph","Joseph the Dreamer","character","OK",""
"which-prophet-are-you","daniel","Daniel the Steady","character","OK",""
"which-prophet-are-you","elijah","Elijah at the Cave","character","OK",""
"which-prophet-are-you","ezekiel","Ezekiel the Visionary","character","OK",""
"which-prophet-are-you","hosea","Hosea the Heartbroken","character","OK",""
"which-prophet-are-you","isaiah","Isaiah the Sent","character","OK",""
"which-prophet-are-you","jeremiah","Jeremiah the Weeping Prophet","character","OK",""
"which-prophet-are-you","jonah","Jonah the Runner","character","OK",""
"which-waiting-season-bible-figure","abraham","Abraham Waiting for Isaac","character","OK",""
"which-waiting-season-bible-figure","david","David Anointed but Not Yet King","character","OK",""
"which-waiting-season-bible-figure","hannah","Hannah Praying for a Child","character","OK",""
"which-waiting-season-bible-figure","joseph","Joseph in Prison","character","OK",""
"which-waiting-season-bible-figure","moses","Moses in Midian","character","OK",""
"which-waiting-season-bible-figure","sarah","Sarah Past Hope","character","OK",""
"which-when-god-is-silent-figure-are-you","asaph","Asaph","character","OK",""
"which-when-god-is-silent-figure-are-you","david-in-the-cave","David in the Cave","character","OK",""
"which-when-god-is-silent-figure-are-you","elijah","Elijah","character","OK",""
"which-when-god-is-silent-figure-are-you","habakkuk","Habakkuk","character","OK",""
"which-when-god-is-silent-figure-are-you","hannah","Hannah","character","OK",""
"which-when-god-is-silent-figure-are-you","job","Job","character","OK",""
"which-woman-of-the-bible-are-you","deborah","Deborah the Judge","character","OK",""
"which-woman-of-the-bible-are-you","esther","Esther for Such a Time","character","OK",""
"which-woman-of-the-bible-are-you","hannah","Hannah in the Temple","character","OK",""
"which-woman-of-the-bible-are-you","martha","Martha the Doer","character","OK",""
"which-woman-of-the-bible-are-you","mary-of-bethany","Mary of Bethany","character","OK",""
"which-woman-of-the-bible-are-you","priscilla","Priscilla the Teacher","character","OK",""
"which-woman-of-the-bible-are-you","rahab","Rahab the Brave","character","OK",""
"which-woman-of-the-bible-are-you","ruth","Ruth the Loyal","character","OK",""
"which-wounded-but-healed-bible-figure","bleeding-woman","The Bleeding Woman (Suffering, Then Touched)","character","OK",""
"which-wounded-but-healed-bible-figure","hagar","Hagar (Cast Out, Seen by God)","character","OK",""
"which-wounded-but-healed-bible-figure","joseph","Joseph (Betrayed, Then Restored)","character","OK",""
"which-wounded-but-healed-bible-figure","mephibosheth","Mephibosheth (Crippled, Then Seated at the Table)","character","OK",""
"which-wounded-but-healed-bible-figure","naomi","Naomi (Bitter, Then Renamed)","character","OK",""
"which-wounded-but-healed-bible-figure","paul","Paul (The Persecutor Made Apostle)","character","OK",""
"which-bible-animal-are-you","donkey","Balaam's Donkey","creature","OK",""
"which-bible-animal-are-you","dove","The Dove","creature","OK",""
"which-bible-animal-are-you","eagle","Eagle on the Updraft","creature","OK",""
"which-bible-animal-are-you","lamb","The Lamb","creature","OK",""
"which-bible-animal-are-you","lion-of-judah","Lion of Judah","creature","OK",""
"which-bible-animal-are-you","serpent","Wise as Serpents","creature","OK",""
"which-bible-animal-are-you","sheep","Sheep of His Pasture","creature","OK",""
"which-biblically-accurate-angel-are-you","cherubim","The Cherubim","creature","OK",""
"which-biblically-accurate-angel-are-you","gabriel","Gabriel the Messenger","creature","OK",""
"which-biblically-accurate-angel-are-you","michael","Michael the Archangel","creature","OK",""
"which-biblically-accurate-angel-are-you","ophanim","The Ophanim (Wheels)","creature","OK",""
"which-biblically-accurate-angel-are-you","seraphim","The Seraphim","creature","OK",""
"which-piece-of-the-armor-of-god-are-you","belt-of-truth","The Belt of Truth","object","OK",""
"which-piece-of-the-armor-of-god-are-you","shield-of-faith","The Shield of Faith","object","OK",""
"which-piece-of-the-armor-of-god-are-you","shoes-of-the-gospel-of-peace","The Shoes of the Gospel of Peace","object","OK",""
"which-piece-of-the-armor-of-god-are-you","sword-of-the-spirit","The Sword of the Spirit","object","OK",""
"which-bible-city-are-you","babylon","Babylon (faithful in exile)","place","OK",""
"which-bible-city-are-you","bethlehem","Bethlehem (the small beginning)","place","OK",""
"which-bible-city-are-you","jericho","Jericho (the walls come down)","place","OK",""
"which-bible-city-are-you","jerusalem","Jerusalem (the city of God)","place","OK",""
"which-bible-city-are-you","nazareth","Nazareth (the underestimated)","place","OK",""
"which-bible-city-are-you","nineveh","Nineveh (the second chance)","place","OK",""
"which-bible-mountain-are-you","ararat","Mount Ararat (the resting place)","place","OK",""
"which-bible-mountain-are-you","beatitudes","The Mount of the Beatitudes (the blessing)","place","OK",""
"which-bible-mountain-are-you","carmel","Mount Carmel (the showdown)","place","OK",""
"which-bible-mountain-are-you","olives","Mount of Olives (the hope of return)","place","OK",""
"which-bible-mountain-are-you","sinai","Mount Sinai (the holy fire)","place","OK",""
"which-bible-mountain-are-you","zion","Mount Zion (the place of provision)","place","OK",""
"which-bible-feast-are-you","day-of-atonement","Day of Atonement (Cleansing and Forgiveness)","scene","OK",""
"which-bible-feast-are-you","passover","Passover (Deliverance and Mercy)","scene","OK",""
"which-bible-feast-are-you","pentecost","Pentecost (Fresh Fire and Power)","scene","OK",""
"which-bible-feast-are-you","tabernacles","Tabernacles (Dwelling and Rest)","scene","OK",""
"which-bible-feast-are-you","trumpets","Trumpets (Awakening and Return)","scene","OK",""
"which-bible-miracle-are-you","feeding","Feeding the 5000","scene","OK",""
"which-bible-miracle-are-you","lazarus","Raising Lazarus","scene","OK",""
"which-bible-miracle-are-you","storm","Calming the Storm","scene","OK",""
"which-bible-miracle-are-you","walking","Walking on Water","scene","OK",""
"which-bible-miracle-are-you","wine","Water Into Wine","scene","OK",""
"which-bible-story-are-you-living","burning-bush","At the Burning Bush","scene","OK",""
"which-bible-story-are-you-living","exodus","Crossing the Red Sea","scene","OK",""
"which-bible-story-are-you-living","lions-den","In the Lions' Den","scene","OK",""
"which-bible-story-are-you-living","pentecost","Pentecost Power","scene","OK",""
"which-bible-story-are-you-living","resurrection","Resurrection Morning","scene","OK",""
"which-bible-story-are-you-living","storm-at-sea","Storm on the Sea of Galilee","scene","OK",""
"which-bible-story-are-you-living","wilderness","Wilderness Season","scene","OK",""
"which-day-of-creation-are-you","day1","Day One: Light","scene","OK",""
"which-day-of-creation-are-you","day2","Day Two: Sky and Sea","scene","OK",""
"which-day-of-creation-are-you","day3","Day Three: Land and Growing Things","scene","OK",""
"which-day-of-creation-are-you","day4","Day Four: Sun, Moon and Stars","scene","OK",""
"which-day-of-creation-are-you","day5","Day Five: Sea Creatures and Birds","scene","OK",""
"which-day-of-creation-are-you","day6","Day Six: Animals and Humankind","scene","OK",""
"which-day-of-creation-are-you","day7","Day Seven: Rest","scene","OK",""
"which-parable-describes-your-life","good-samaritan","The Good Samaritan","scene","OK",""
"which-parable-describes-your-life","lost-sheep","The Lost Sheep Carried Home","scene","OK",""
"which-parable-describes-your-life","mustard-seed","The Mustard Seed","scene","OK",""
"which-parable-describes-your-life","pharisee-and-tax-collector","The Tax Collector at the Back","scene","OK",""
"which-parable-describes-your-life","prodigal-son","The Prodigal Coming Home","scene","OK",""
"which-parable-describes-your-life","sower","The Sower's Good Soil","scene","OK",""
"which-parable-describes-your-life","talents","The Faithful Steward","scene","OK",""
"which-plague-of-egypt-are-you","blood","The Nile Turned to Blood","scene","OK",""
"which-plague-of-egypt-are-you","darkness","The Plague of Darkness","scene","OK",""
"which-plague-of-egypt-are-you","firstborn","The Final Plague","scene","OK",""
"which-plague-of-egypt-are-you","frogs","The Plague of Frogs","scene","OK",""
"which-plague-of-egypt-are-you","hail","The Plague of Hail","scene","OK",""
"which-plague-of-egypt-are-you","locusts","The Plague of Locusts","scene","OK",""
"are-you-a-cycle-breaker","born-cycle-breaker","Born Cycle Breaker","symbol","OK",""
"are-you-a-cycle-breaker","healing-but-tired","Healing-but-Tired","symbol","CHECK","Generic spiral wreath of wheat, pomegranates and an olive branch; does not clearly convey ""healing but tired"" vs other states."
"are-you-a-cycle-breaker","reluctant-cycle-breaker","Reluctant Cycle Breaker","symbol","OK",""
"are-you-a-cycle-breaker","still-in-the-cycle","Still-in-the-Cycle","symbol","MISMATCH","Shows hands snapping a chain apart (breaking free), which depicts breaking the cycle, the opposite of ""still in the cycle""."
"are-you-actually-behind-in-life","comparison-has-lied-to-you","Comparison Has Lied to You","symbol","OK",""
"are-you-actually-behind-in-life","genuinely-drifting","Genuinely Drifting and Need a Step","symbol","OK",""
"are-you-actually-behind-in-life","in-a-hidden-prep-season","In a Hidden Prep Season","symbol","OK",""
"are-you-actually-behind-in-life","right-on-gods-timeline","Right on God's Timeline","symbol","OK",""
"are-you-actually-resting-or-just-stopping","crash-and-burn","Crash-and-Burn Rest","symbol","OK",""
"are-you-actually-resting-or-just-stopping","guilty-rest","Guilty Rest","symbol","OK",""
"are-you-actually-resting-or-just-stopping","numb-scrolling","Numb-Scrolling","symbol","OK",""
"are-you-actually-resting-or-just-stopping","productive-rest","Productive 'Rest'","symbol","OK",""
"are-you-actually-resting-or-just-stopping","true-sabbath-rest","True Sabbath Rest","symbol","OK",""
"are-you-angry-at-god","hiding-it","Yes, and You're Hiding It","symbol","OK",""
"are-you-angry-at-god","more-disappointed","More Disappointed Than Angry","symbol","OK",""
"are-you-angry-at-god","numb-and-distant","Numb and Distant Right Now","symbol","OK",""
"are-you-angry-at-god","wrestling-honestly","Yes, and You're Wrestling Honestly","symbol","OK",""
"are-you-in-a-dark-night-of-the-soul","classic-dark-night","Yes, the Classic Dark Night","symbol","OK",""
"are-you-in-a-dark-night-of-the-soul","conviction-avoiding","Conviction You're Avoiding","symbol","OK",""
"are-you-in-a-dark-night-of-the-soul","depression-mask","Depression Wearing a Spiritual Mask","symbol","MISMATCH","Byte-identical duplicate of this quiz set's ""True Sabbath Rest"" image: a calm figure watching the sunset with sandals off, a lamp and a blossom on a mat. Depicts peaceful rest, not depression."
"are-you-in-a-dark-night-of-the-soul","dry-season","A Dry Season (Normal)","symbol","OK",""
"are-you-in-a-dark-night-of-the-soul","spiritual-burnout","Spiritual Burnout (Not the Same)","symbol","MISMATCH","Byte-identical duplicate of the ""Productive 'Rest'"" image: a figure resting upright with a staff and work tools (scroll, lamp, harvest bundle) laid out. Does not depict burnout."
"can-you-forgive-someone-who-isnt-sorry","forgiveness-vs-reconciliation","You're Confusing Forgiveness With Reconciliation","symbol","OK",""
"can-you-forgive-someone-who-isnt-sorry","ready-to-release","You're Ready to Release It","symbol","OK",""
"can-you-forgive-someone-who-isnt-sorry","waiting-on-apology","You're Waiting on an Apology That May Never Come","symbol","OK",""
"can-you-forgive-someone-who-isnt-sorry","wound-still-aches","You've Forgiven but the Wound Still Aches","symbol","OK",""
"deconstructing-or-asking-honest-questions","deconstruction-toward-exit","Deconstruction Toward Exit","symbol","OK",""
"deconstructing-or-asking-honest-questions","deconstruction-toward-rebuilding","Deconstruction Toward Rebuilding","symbol","OK",""
"deconstructing-or-asking-honest-questions","faith-crisis","Faith Crisis (pain-driven)","symbol","OK",""
"deconstructing-or-asking-honest-questions","healthy-questioning","Healthy Questioning (faith-building)","symbol","OK",""
"deconstructing-or-asking-honest-questions","stuck-in-the-rubble","Stuck in the Rubble","symbol","OK",""
"do-you-have-church-hurt","carrying-real-church-hurt","Carrying Real Church Hurt","symbol","OK",""
"do-you-have-church-hurt","mostly-healed","Mostly Healed, a Few Triggers Left","symbol","OK",""
"do-you-have-church-hurt","spirit-of-offense","A Spirit of Offense, Not Abuse","symbol","OK",""
"do-you-have-church-hurt","survived-spiritual-abuse","Survived Spiritual Abuse","symbol","OK",""
"do-you-have-high-functioning-anxiety","capable-mask","The Capable Mask","symbol","OK",""
"do-you-have-high-functioning-anxiety","hidden-high-functioning","Hidden High-Functioning Anxiety","symbol","OK",""
"do-you-have-high-functioning-anxiety","mostly-at-peace","Mostly At Peace","symbol","OK",""
"do-you-have-high-functioning-anxiety","productive-panic","Productive Panic","symbol","OK",""
"do-you-have-high-functioning-anxiety","quiet-overwhelm","Quiet Overwhelm","symbol","OK",""
"do-you-have-mom-burnout","burned-out-and-running-on-empty","Burned Out and Running on Empty","symbol","OK",""
"do-you-have-mom-burnout","in-a-good-rhythm","In a Good Rhythm","symbol","OK",""
"do-you-have-mom-burnout","resentful-and-guilty","Resentful and Guilty","symbol","OK",""
"do-you-have-mom-burnout","stretched-thin","Stretched Thin","symbol","OK",""
"do-you-have-mom-burnout","tired-but-holding-on","Tired but Holding On","symbol","OK",""
"do-you-have-mom-burnout","touched-out-and-overstimulated","Touched-Out and Overstimulated","symbol","OK",""
"do-you-secretly-feel-like-a-fraud-at-church","the-burned-out-server","The Burned-Out Server","symbol","OK",""
"do-you-secretly-feel-like-a-fraud-at-church","the-impostor","The Impostor","symbol","OK",""
"do-you-secretly-feel-like-a-fraud-at-church","the-performer","The Performer","symbol","OK",""
"do-you-secretly-feel-like-a-fraud-at-church","the-quiet-doubter","The Quiet Doubter","symbol","OK",""
"do-you-secretly-feel-like-a-fraud-at-church","the-real-deal","The Real Deal","symbol","OK",""
"how-anxious-is-your-attachment-to-god","anxiously-attached","Anxiously Attached","symbol","OK",""
"how-anxious-is-your-attachment-to-god","avoidant","Avoidant","symbol","OK",""
"how-anxious-is-your-attachment-to-god","earning-it","Earning-It","symbol","OK",""
"how-anxious-is-your-attachment-to-god","growing-secure","Growing Secure","symbol","OK",""
"how-anxious-is-your-attachment-to-god","securely-attached","Securely Attached","symbol","OK",""
"is-he-the-one-christian-discernment","green-light-pursue","Green Light: Pursue","symbol","OK",""
"is-he-the-one-christian-discernment","not-yet-keep-growing","Not Yet: Keep Growing","symbol","OK",""
"is-he-the-one-christian-discernment","red-walk-away","Red: Walk Away","symbol","OK",""
"is-he-the-one-christian-discernment","yellow-pray-and-watch","Yellow: Pray and Watch","symbol","OK",""
"is-it-anxiety-or-a-faith-problem","a-mix","A Mix You Can Untangle","symbol","OK",""
"is-it-anxiety-or-a-faith-problem","anxiety-not-faithlessness","It's Anxiety, Not Faithlessness","symbol","OK",""
"is-it-anxiety-or-a-faith-problem","seek-support","Time to Seek Support","symbol","OK",""
"is-it-anxiety-or-a-faith-problem","spiritual-battle","Mostly Spiritual Battle","symbol","OK",""
"is-it-anxiety-or-a-faith-problem","too-hard-on-yourself","You're Being Too Hard on Yourself","symbol","OK",""
"is-it-conviction-or-shame","healthy-conviction","Healthy Conviction From God","symbol","OK",""
"is-it-conviction-or-shame","old-voice","An Old Voice That Isn't God's","symbol","OK",""
"is-it-conviction-or-shame","tangled-mix","A Tangled Mix","symbol","OK",""
"is-it-conviction-or-shame","toxic-shame","Toxic Shame From People","symbol","OK",""
"is-it-god-or-just-you","gods-nudge","Mostly God's Nudge","symbol","OK",""
"is-it-god-or-just-you","healthy-mix","A Healthy Mix","symbol","OK",""
"is-it-god-or-just-you","too-tangled","Too Tangled to Tell Yet","symbol","OK",""
"is-it-god-or-just-you","your-own-desire","Mostly Your Own Desire","symbol","OK",""
"is-your-faith-on-autopilot","comfortable-coasting","Comfortable Coasting","symbol","OK",""
"is-your-faith-on-autopilot","genuinely-resting","Genuinely Resting (It's Okay)","symbol","OK",""
"is-your-faith-on-autopilot","numb-but-showing-up","Numb but Showing Up","symbol","OK",""
"is-your-faith-on-autopilot","performance-mode","Performance Mode","symbol","OK",""
"is-your-faith-on-autopilot","running-on-fumes","Running on Fumes","symbol","OK",""
"is-your-phone-an-idol","fully-captured","Fully Captured","symbol","OK",""
"is-your-phone-an-idol","surrendered","Surrendered","symbol","MISMATCH","Shows temptation imagery (a serpent coiled around the wrist + a split forbidden fruit held out, fruit tree behind) = the ""Tempted"" subject. Surrender should be empty open hands releasing to God. Appears swapped with tempted.webp."
"is-your-phone-an-idol","tempted","Tempted","symbol","MISMATCH","Shows open cupped hands with cords/threads loosening and falling away = a surrender/letting-go subject. No temptation cue (no serpent, fruit, or lure). Appears swapped with surrendered.webp."
"is-your-phone-an-idol","tethered","Tethered","symbol","OK",""
"social-media-comparison-type","curator","The Curator","symbol","OK",""
"social-media-comparison-type","doom-scroller","The Doom-Scroller","symbol","OK",""
"social-media-comparison-type","fomo-feeler","The FOMO Feeler","symbol","OK",""
"social-media-comparison-type","lurker-comparer","The Lurker-Comparer","symbol","OK",""
"what-generational-pattern-are-you-breaking","absent-parent-cycle","The Absent-Parent Cycle","symbol","OK",""
"what-generational-pattern-are-you-breaking","addiction-cycle","The Addiction Cycle","symbol","OK",""
"what-generational-pattern-are-you-breaking","anger-cycle","The Anger Cycle","symbol","OK",""
"what-generational-pattern-are-you-breaking","poverty-fear-cycle","The Poverty-Fear Cycle","symbol","OK",""
"what-generational-pattern-are-you-breaking","silence-and-shame-cycle","The Silence-and-Shame Cycle","symbol","OK",""
"what-is-god-preparing-you-for","cant-see-yet","Something You Can't See Yet","symbol","OK",""
"what-is-god-preparing-you-for","hard-but-holy-calling","A Hard but Holy Calling","symbol","OK",""
"what-is-god-preparing-you-for","hidden-influence","A Hidden Influence","symbol","OK",""
"what-is-god-preparing-you-for","leadership-assignment","A Leadership Assignment","symbol","OK",""
